Rank,Team,Won,Lost,Tied,PF,PA,Rating
529,N.C. A&T,4,12,0,1182,1261,100.242
530,TRINITY (TX),7,5,0,956,967,100.240
531,TCNJ,9,3,0,1053,896,100.227
532,CAMPBELLSVILLE,0,1,0,76,104,100.207
533,QUINCY,6,6,0,914,883,100.189
534,BLOOMFIELD,7,5,0,988,981,100.177
535,FRANKLIN,8,5,0,948,896,100.170
536,WILLIAMS,8,3,0,773,655,100.167
537,STEVENS,8,3,0,827,705,100.154
538,CHARLESTON (WV),6,5,0,933,922,100.134
539,TEX. A&M INT'L,7,9,0,1047,1030,100.036
540,ROSE-HULMAN,8,4,0,841,806,100.033
541,YOUNG HARRIS,9,4,0,999,844,99.999
542,ILL. SPRINGFIELD,6,7,0,978,966,99.990
543,ORAL ROBERTS,4,10,0,1029,1060,99.985
544,ANDERSON (SC),8,5,0,1089,996,99.982
545,JOHN CARROLL,7,4,0,883,812,99.952
546,OBERLIN,9,4,0,931,930,99.949
547,CLAFLIN,10,7,0,1345,1251,99.942
548,NORTHWESTERN OKLA.,6,6,0,938,969,99.928
549,EMMANUEL (GA),8,7,0,1296,1228,99.921
550,COLORADO MESA,6,6,0,827,854,99.917
551,BLUEFIELD ST.,8,5,0,1243,1157,99.901
552,CAL STATE LA,5,7,0,845,834,99.899
553,USC UPSTATE,4,12,0,1209,1318,99.899
554,WESTMINSTER (UT),7,6,0,969,959,99.893
555,NAVY,5,10,0,1089,1088,99.893
556,CLARK ATLANTA,9,4,0,916,901,99.882
557,OHIO NORTHERN,8,3,0,876,732,99.880
558,CENTRAL WASH.,8,5,0,1050,950,99.878
559,LORAS,9,3,0,1027,840,99.875
560,VMI,6,9,0,1175,1080,99.858
561,EASTERN,7,4,0,840,833,99.852
562,PITT.-BRADFORD,10,2,0,1235,1143,99.847
563,WILLIAM JEWELL,5,7,0,821,825,99.830
564,UT TYLER,6,7,0,890,849,99.825
565,POST,8,6,0,1111,1092,99.818
566,TEX. A&M-KINGSVILLE,7,8,0,1040,1094,99.810
567,SOUTHWEST BAPTIST,6,5,0,854,772,99.798
568,ASHLAND,7,6,0,954,868,99.797
569,MIDDLEBURY,7,4,0,873,829,99.797
570,JOHNS HOPKINS,5,5,0,743,727,99.779
571,LETOURNEAU,11,5,0,1303,1269,99.757
572,CHATHAM,10,4,0,1041,976,99.757
573,WESTERN WASH.,9,6,0,1220,1097,99.757
574,SWARTHMORE,8,4,0,858,828,99.748
575,MILLIKIN,8,4,0,825,793,99.747
576,BRIAR CLIFF (IA),0,1,0,69,80,99.743
577,COE,8,5,0,977,917,99.735
578,WESTERN NEW ENG.,8,3,0,833,752,99.720
579,GREEN BAY,2,15,0,1181,1377,99.719
580,CLAREMONT-M-S,8,3,0,839,671,99.685
581,CORNELL COLLEGE,9,4,0,1024,1070,99.667
582,MOREHOUSE,7,6,0,978,989,99.653
583,MILLERSVILLE,8,5,0,1100,970,99.645
584,DRURY,6,6,0,892,832,99.644
585,TENNESSEE ST.,5,10,0,1205,1146,99.643
586,LINCOLN (PA),9,5,0,1022,959,99.599
587,NIU,4,9,0,944,968,99.583
588,GUILFORD,9,3,0,887,795,99.574
589,ALCORN,0,14,0,845,1146,99.568
590,REGIS (CO),5,7,0,872,933,99.563
591,BENTLEY,6,6,0,963,911,99.559
592,WINGATE,5,6,0,935,939,99.555
593,COLUMBIA INT'L,1,4,0,330,465,99.537
594,MOUNT UNION,7,4,0,887,806,99.534
595,OKLA. CHRISTIAN,5,7,0,926,955,99.514
596,BRY. & STRAT. (SYR.),1,0,0,86,65,99.509
597,AUM,6,7,0,959,1028,99.495
598,IU INDY,5,12,0,1272,1236,99.494
599,BETHEL (MN),9,3,0,953,890,99.485
600,SAINT LEO,7,7,0,1088,1022,99.479
601,HOBART,8,3,0,746,692,99.458
602,ST. ANSELM,7,6,0,1058,1057,99.456
603,SLIPPERY ROCK,8,6,0,1070,1032,99.438
604,FELICIAN,7,5,0,908,861,99.382
605,AZUSA PACIFIC,8,6,0,988,975,99.380
606,CAMERON,4,9,0,983,991,99.367
607,BOWDOIN,9,4,0,908,770,99.364
608,WALSH,4,6,0,721,792,99.354
609,CHICAGO ST.,1,16,0,1002,1384,99.339
610,CLAYTON ST.,6,6,0,854,864,99.337
611,MONTCLAIR ST.,8,4,0,1036,944,99.334
612,EASTERN CONN. ST.,9,2,0,760,673,99.331
613,ITHACA,5,4,0,670,655,99.330
614,GRAMBLING,3,11,0,962,1013,99.322
615,SAINT JOSEPH (CT),7,5,0,863,835,99.316
616,ARK.-FORT SMITH,6,7,0,1052,935,99.311
617,STANISLAUS ST.,6,9,0,999,1104,99.310
618,MONTANA TECH,0,1,0,60,89,99.304
619,ALAS. ANCHORAGE,8,7,0,1106,924,99.284
620,UC SANTA CRUZ,9,8,0,1333,1326,99.279
621,SOUTHERN CONN. ST.,5,7,0,925,957,99.276
622,GWYNEDD MERCY,10,1,0,948,726,99.274
623,STETSON,3,12,0,1098,1242,99.269
624,VIRGINIA UNION,7,8,0,1055,1045,99.264
625,WEST ALA.,8,5,0,929,860,99.262
626,WEST GA.,2,13,0,1026,1166,99.262
627,COPPIN ST.,2,13,0,837,1146,99.262
628,SALISBURY,11,5,0,1169,1113,99.258
629,AMHERST,9,4,0,954,757,99.231
630,WASH. & JEFF.,9,4,0,992,921,99.229
631,ILLINOIS COL.,9,4,0,914,836,99.215
632,TRANSYLVANIA,6,6,0,849,853,99.213
633,ELMHURST,6,7,0,924,965,99.184
634,NEB.-KEARNEY,4,8,0,887,892,99.179
635,CHADRON ST.,6,7,0,983,948,99.179
636,WILLIAM WOODS,0,1,0,57,78,99.172
637,CHRISTIAN BROTHERS,6,7,0,940,954,99.166
638,NEW HAVEN,7,7,0,1013,1015,99.159
